1;BECS;A - (B.ESTADO) CROSS SONAP RF;1 - B.ESTADO CROSS SONAP;15 - CALIDAD
2;BECS;A - (B.ESTADO) CROSS SONAP RF;1 - B.ESTADO CROSS SONAP;2 - CROSS SONAP
3;BECS;A - (B.ESTADO) HOSPITALIZACION NORMAL;100 - C2C HOSPITALIZACION;116 - C2C_HOSP
4;CARDIF;A - (CARDIF) - SEGURO AUTOS;103 - AUTOLAND (SEGURO AUTOS);80 - AUTOLAND (SEGURO AUTOS)
5;BECS;A - (B.ESTADO) SONAP;11 - B.ESTADO SONAP SJ;9 - B_ESTADO_SONAP
6;CARDIF;A - (CARDIF) COOPEUCH SEGURO AUTOS;110 - AUTOLAND COOPEUCH (SEGURO AUTOS);75 - COOPEUCH SEGURO AUTOMOVIL
7;BECS;A - (B.ESTADO) CROSS RENO HOSPITALIZACION;113 - CROSS RENO HOSPITALIZACION;85 - CROSS RENO HOSPITALIZACION
8;BECS;A - (B.ESTADO) RENOVACION EGRA;116 - RENOVACION_EGRA;95 - RENOVACION EGRA
9;CARDIF;A - (CARDIF) RENTA DIARIA;117 - CARDIF RENTA DIARIA ASISTIDO;100 - CARDIF RENTA DIARIA ASISTIDO
10;BECS;A - (B.ESTADO) SONAP REGALO;124 - SONAP REGALO;91 - SONAP REGALO
11;BECS;A - (B.ESTADO) AHORRO RENOVACION EJERCITO;126 - RENO AHORRO EJERCITO;89 - RENO AHORRO EJERCITO
12;BECS;A - (B.ESTADO) AHORRO REGALO;127 - AHORRO NORMAL REGALO;90 - AHORRO REGALO
13;BECS;A - (B.ESTADO) AHORRO ESPECIAL;130 - AHORRO ESPECIAL;92 - AHORRO ESPECIAL
14;BECS;A - (B.ESTADO) RENOVACION REGALO SONAP;131 - RENOVACION REGALO SONAP;94 - RENO_SONAP_REGALO
15;BECS;A - (B.ESTADO) RENOVACION REGALO AP AHORRO ;132 - RENOVACION REGALO AHORRO;97 - RENOVACION REGALO AHORRO
16;CARDIF;A - (CARDIF) ONCOLOGICO;135 - CARDIF ONCOLOGICO ASISTIDO;99 - CARDIF ONCOLOGICO ASISTIDO
17;CARDIF;C - (CENCOSUD);136 - (CENCOSUD) VIVIR MAS CROSS;102 - CENCOSUD_CROSS
18;CARDIF;C - (CENCOSUD);137 - (CENCOSUD) VIVIR MAS MASIVA;101 - CENCOSUD
19;CARDIF;C - (CENCOSUD);138 - (CENCOSUD) VIVIR MAS APERTURA;101 - CENCOSUD
20;CARDIF;C - (CENCOSUD);140 - (CENCOSUD) ONCOLOGICO CROSS;104 - CENCOSUD_ONCOLOGICO_CROSS
21;CARDIF;A - (CARDIF) AP ONCOLOGICO CON BONIFICACION;141 - CARDIF AP ONCOLOGICO CON BONIFICACION;105 - CARDIF_AP_ONCOLOGICO
22;CARDIF;A - (CARDIF) SEGURO ROBO 360 SCOTIABANK;142 - SEGURO ROBO 360 TENTADOS;62 - SEGURO ROBO 360 SCOTIABANK
23;CARDIF;A - (CARDIF) AP ONCOLOGICO CON BONIFICACION;143 - CARDIF AP ONCOLOGICO CON BONIFICACION ESPECIAL;107 - CARDIF_AP_ONCOLOGICO _ASISTIDO
24;BECS;A - (B.ESTADO) AHORRO RENOVACION FUNDACION INTEGRA;145 - AHORRO RENO FUNDACION INTEGRA;106 - AHORRO_RENO_FUNDACION_INTEGRA
25;CARDIF;C - (CENCOSUD);146 - (CENCOSUD) VIVIR MAS CROSS ASISTIDA;108 - CENCOSUD_CROSS_ASISTIDO
26;BECS;A - (B.ESTADO) CROSS AHORRO;147 - CROSS AHORRO (N);127 - CROSS_AHORRO_N
27;METLIFE;D - (METLIFE) CLINICA EVEREST;148 - (EVEREST) DENTAL + SEGURO CANCER E INFARTO;110 - METLIFE_CLINICA_EVEREST
28;METLIFE;D - (METLIFE) CLINICA SANASALUD;149 - (SANASALUD) SEGURO EGRA + DENTAL;111 - METLIFE_CLINICA_SANASALUD
29;METLIFE;D - (METLIFE) CLINICA UNO SALUD DENTAL;150 - (UNOSALUD) EGRA + AP + DENTAL;112 - METLIFE_UNO_SALUD_DENTAL
30;CARDIF;A - (CARDIF) ZERO PORTONAZO;151 - ROBO ZERO PORTONAZO;113 - ZERO_PORTONAZO
31;CARDIF;A - (CARDIF) CAJA LOS ANDES;152 - CAJA LOS ANDES CROSS;114 - CAJA LOS ANDES CROSS
32;CARDIF;A - (CARDIF) ZERO ACCIDENTE;154 - ZERO ACCIDENTE;117 - ZERO_ACCIDENTE
33;BECS;A - (B.ESTADO) AHORRO NORMAL;155 - C2C AHORRO MASIVO;118 - C2C AHORRO MASIVO
34;CARDIF;A - (CARDIF) ZERO DAÑOS (CELULARES);156 - ZERO DAÑOS (CELULAR);119 - ZERO_CELULAR
35;CARDIF;A - (CARDIF) CLA AP + BENEFICIOS POR PERMANENCIA;159 - CLA AP + Bonificacion;121 - CLA_AP
36;BECS;A - (B.ESTADO) RENOVACION SONAP;16 - RENO SONAP;17 - RENO SONAP
37;CARDIF;A - (CARDIF) CLA AP + BENEFICIOS POR PERMANENCIA;160 - CLA AP + Bonificacion Cross;122 - CLA_AP_CROSS
38;CARDIF;A - (CARDIF) PROTECCION HOSPITALARIA;162 - PROTECCION HOSPITALARIA;124 - PROTECCION_HOSPITALARIA_MASIVA
39;METLIFE;D - (METLIFE) AP + AHORRO ENTEL;163 - ENTEL AP + AHORRO;126 - ENTEL_AP_AHORRO
40;CARDIF;A - (CARDIF) AP BONIFICACION;164 - CARDIF AP BONIFICACION;128 - CARDIF_AP_BONIFICACION
41;CARDIF;A - (CARDIF) PROTECCION HOSPITALARIA;165 - PROTECCION HOSPITA CROSS;125 - PROTECCION_HOSPITALARIA_CROSS
42;BECS;A - (B.ESTADO) CROSS SONAP RF;166 - B.ESTADO CROSS SONAP BEME;129 - CROSS_SONAP_BEME
43;BECS;A - (B.ESTADO) CROSS RENO HOSPITALIZACION;167 - CROSS RENO HOSPITALIZACION BEME;130 - CROSS_RENO_HOSP_BEME
44;CARDIF;C - (CENCOSUD);168 - (CENCOSUD) AP BONIFICACION CROSS;131 - CENCOSUD_AP_BONIFICACION_CROSS
45;BECS;A - (B.ESTADO) CROSS EGRA RF;17 - B.ESTADO CROSS EGRA RD;19 - B_ESTADO_CROSS_EGRA
46;BECS;A - (B.ESTADO) SONAP ESPECIAL;48 - B. ESTADO SONAP_ESPECIAL;36 - SONAP ESPECIAL
47;BECS;A - (B.ESTADO) EGRA ESPECIAL;52 - B. ESTADO EGRA ESPECIAL;40 - B. ESTADO EGRA ESPECIAL
48;CARDIF;A - (CARDIF) RENTA DIARIA;55 - CARDIF RENTA DIARIA;42 - CARDIF RENTA DIARIA
49;CARDIF;A - (CARDIF) ONCOLOGICO;60 - CARDIF ONOCOLOGICO;43 - CARDIF ONCOLOGICO
50;BECS;A - (B.ESTADO) SALE SEGURO NORMAL;67 - SALE_SEGURO_NORMAL;48 - SALE SEGURO NORMAL
51;BECS;A - (B.ESTADO) SALE SEGURO ESPECIAL;68 - SALE_SEGURO_ESPECIAL;49 - SALE SEGURO ESPECIAL
52;BECS;A - (B.ESTADO) HOSPITALIZACION NORMAL;69 - HOSPITALIZACION NORMAL;50 - HOSPITALIZACION NORMAL
53;BECS;A - (B.ESTADO) HOSPITALIZACION ESPECIAL;70 - HOSPITALIZACION ESPECIAL;51 - HOSPITALIZACION ESPECIAL
54;BECS;A - (B.ESTADO) SONAP;73 - C2C SONAP MASIVO;54 - C2C SONAP MASIVO
55;BECS;A - (B.ESTADO) EGRA;74 - C2C EGRA MASIVO;55 - C2C EGRA MASIVO
56;CARDIF;A - (CARDIF) SEGURO ROBO 360 SCOTIABANK;83 - SEGURO ROBO 360 SCOTIABANK;62 - SEGURO ROBO 360 SCOTIABANK
57;CARDIF;A - (CARDIF) CAJA LOS ANDES;88 - CAJA LOS ANDES;67 - CAJA LOS ANDES
58;BECS;A - (B.ESTADO) EGRA;9 - B. ESTADO EGRA MASIVA;10 - B ESTADO EGRA
59;BECS;A - (B.ESTADO) AHORRO NORMAL;90 - AHORRO NORMAL;68 - AHORRO NORMAL
60;BECS;A - (B.ESTADO) RENOVACION HOSPITALIZACION;91 - RENOVACION HOSPITALIZACION;69 - RENOVACION HOSPITALIZACION
61;BECS;A - (B.ESTADO) CROSS AHORRO;92 - CROSS AHORRO;70 - CROSS AHORRO
